"Hópur","Flokkur","Aðalval","Fyrirtæki","Fit","Staðfest","Af hverju","Tilboðshugmynd","Vefur","Sími","Netfang","Tengiliður","Kennitala","Athugasemd"
"Heimiliskerfi & fjármál","Öryggiskerfi & snjallheimili","já","Securitas","5","já","Ný eign kallar á nýtt öryggiskerfi. Nýbúnir að kynna nýjar Heimavarnar-áskriftir, í markaðssókn.","Frí uppsetning + 2 mánuðir fríir í Heimavörn","securitas.is","580-7000","securitas@securitas.is","Jóhann Ingi Magnússon, framkv.stj. sölu (johannim@securitas.is); Nína L. Auðardóttir, markaðsstjóri (netfang óstaðfest)","640388-2699",""
"Heimiliskerfi & fjármál","Öryggiskerfi & snjallheimili","nei","Öryggismiðstöðin","4","já","Beinn keppinautur Securitas í heimaöryggi.","Frír stofnkostnaður + reykskynjari/myndavél í kaupbæti","oryggi.is","570-2400","oryggi@oryggi.is","","",""
"Heimiliskerfi & fjármál","Lásasmiður – skipta um lás","já","Lásar – Neyðarþjónustan ehf.","5","já","Fyrri eigandi og aðrir geta átt lykla. Stofnað 1988, verkstæði og verslun á Skemmuvegi 4.","20% af sílinderskiptum + 3 aukalyklar fríir","lasar.is","510-8888","lasar@lasar.is","","661107-1110",""
"Heimiliskerfi & fjármál","Lásasmiður – skipta um lás","nei","Lásaþjónustan ehf.","4","já","Skiptir um sílindera á staðnum, útköll 9–24 alla daga.","Frítt útkall við lásaskipti","lyklasmidur.is","894-5858","lyklasmidur@lyklasmidur.is","","580907-0910",""
"Heimiliskerfi & fjármál","Lásasmiður – skipta um lás","nei","Lykilaðstoð","3","nei","Minna fyrirtæki.","Afsláttur af lásaskiptum","lykiladstod.is","","","","",""
"Heimiliskerfi & fjármál","Rafmagnssala","já","Straumlind","5","já","Allir nýir eigendur þurfa að velja söluaðila rafmagns. Straumlind keppir á verði og auglýsir.","Fyrsti mánuður frír / fast lágverð í 12 mánuði","straumlind.is","454-3040","sala@straumlind.is","Símon Einarsson, framkvæmdastjóri (óstaðfest)","",""
"Heimiliskerfi & fjármál","Rafmagnssala","nei","Orkusalan","4","já","Stór söluaðili á landsvísu með mikið markaðsstarf.","Inneign fyrstu mánuðina","orkusalan.is","422-1000","orkusalan@orkusalan.is","","560306-1130",""
"Heimiliskerfi & fjármál","Rafmagnssala","nei","N1 Rafmagn / Orka náttúrunnar","3","nei","Stór vörumerki, ekki könnuð.","—","n1.is","","","","",""
"Heimiliskerfi & fjármál","Internet & ljósleiðari","já","Hringdu","5","já","Það fyrsta sem þarf að tengja. Keppir á verði og auglýsir mikið.","2 mánuðir fríir í ljósleiðara + frír beinir","hringdu.is","537-7000","hringdu@hringdu.is","Játvarður Jökull Ingvarsson, forstjóri (óstaðfest)","640309-0670",""
"Heimiliskerfi & fjármál","Internet & ljósleiðari","nei","Nova","4","nei","Sterkt neytendavörumerki, ekki kannað.","—","nova.is","","","","",""
"Heimiliskerfi & fjármál","Internet & ljósleiðari","nei","Ljósleiðarinn","3","já","Heildsölunet, selur í gegnum netþjónustur.","Frí tenging","ljosleidarinn.is","","ljosleidarinn@ljosleidarinn.is","","691206-3780",""
"Heimiliskerfi & fjármál","Húsnæðislán – samanburður & lánavakt","já","Aurbjörg","5","já","Ber saman húsnæðislán, vaktar lánið fyrir endurfjármögnun og ber saman rafmagnssala. Nýr kaupandi = kjörinn notandi.","3 mánuðir fríir í áskrift + ókeypis lánavakt","aurbjorg.is","","aurbjorg@aurbjorg.is","Ásdís Arna Gottskálksdóttir, framkvæmdastjóri (óstaðfest)","",""
"Heimiliskerfi & fjármál","Mygla & rakaúttekt","já","Verkvist","5","já","Úttekt á rakaskemmdum og myglu fyrir heimili. Myglukvíði er mikill hjá nýjum kaupendum.","15–20% af myglu- og rakaúttekt á nýju heimili","verkvist.is","419-1500","verkvist@verkvist.is","","550916-0960",""
"Heimiliskerfi & fjármál","Mygla & rakaúttekt","nei","Fagmat","4","nei","Ástandsskoðun + rakamælingar.","15% af raka- og mygluskoðun","fagmat.is","","","","",""
"Heimiliskerfi & fjármál","Mygla & rakaúttekt","nei","Fasteignaskoðun","3","nei","Ástandsskoðun, Grensásvegi 50.","Afsláttur af úttekt","fasteignaskodun.is","","","","",""
"Heimiliskerfi & fjármál","Mygla & rakaúttekt","nei","Innivist","3","nei","Sérhæft í rakaúttektum.","—","innivist.com","","","","",""
"Heimiliskerfi & fjármál","Loftræsting","já","Ventum","4","nei","Loftræsikerfi í heimili, bæði eldri hús og nýbyggingar; hjálpar gegn raka.","Frí úttekt + afsláttur af uppsetningu","ventum.is","","","","",""
"Heimiliskerfi & fjármál","Loftræsting","nei","Íshúsið","3","nei","Loftræsting og viftur frá 2005, vefverslun.","Afsláttarkóði","ishusid.is","","","","",""
"Heimiliskerfi & fjármál","Lögfræði – kaupmáli / erfðaskrá","já","LEX lögmannsstofa","3","nei","Sérsvið í fasteignakauparétti. Fyrstu kaup eru oft tilefni kaupmála.","Fast verð á kaupmála eða erfðaskrá","lex.is","","","","",""
"Innanhúss & skipulag","Fataskápar & skápakerfi","já","GKS Innréttingar","5","já","„Geymslu-optimering“ flokkurinn þinn. Frá 1993, sýningarsalur Síðumúla 4, bóka fund á vef.","Frí heimsókn og skápahönnun + 15% af fataskápum","gks.is","577-1600","gks@gks.is","","",""
"Innanhúss & skipulag","Fataskápar & skápakerfi","nei","AXIS húsgögn","4","já","Íslensk framleiðsla á fataskápum með rennihurðum.","10–15% + frí mæling","axis.is","535-4300","axis@axis.is","","",""
"Innanhúss & skipulag","Fataskápar & skápakerfi","nei","Björninn innréttingar","4","já","Sérsmíðaðir fataskápar, Hafnarfirði.","Frí mæling + afsláttur","bjorninninnrettingar.is","779-5777","bjorninn@bjorninninnrettingar.is","","",""
"Innanhúss & skipulag","Skipulagsráðgjöf (home organizer)","já","Á réttri hillu","3","nei","Virpi Jokinen, fyrsti vottaði skipulagsráðgjafi landsins. Hjálpar við að koma sér fyrir eftir flutning. Lítið fyrirtæki.","„Flutt inn“ skipulagsheimsókn á afslætti","arettrihillu.is","","","Virpi Jokinen, eigandi","",""
"Innanhúss & skipulag","Skipulagsráðgjöf (home organizer)","nei","Pomp & prakt","2","nei","Skipulagsþjónusta + verslun.","Frí fyrsta ráðgjöf","pompogprakt.is","","","","",""
"Innanhúss & skipulag","Geymslur til leigu","já","Geymsla Eitt","5","já","Auglýsir grimmt („allt að 50% afsláttur“). Fólk þarf geymslu á milli íbúða og fyrir flutningskassa.","Fyrsti mánuður frír eða 50% í 3 mánuði","geymsla1.is","564-6500","","","630604-2730",""
"Innanhúss & skipulag","Geymslur til leigu","nei","Geymslur ehf.","4","já","Frumkvöðull á markaði, aðgangur 24/7, fleiri staðir.","Fyrsti mánuður frír","geymslur.is","555-3464","geymslur@geymslur.is","","511114-1600",""
"Innanhúss & skipulag","Geymslur til leigu","nei","Geymslur til leigu","3","já","Smiðjuvegi, ~20 stærðir.","1 mánuður frír","geymslurtilleigu.is","","info@geymslurtilleigu.is","","540115-1680",""
"Innanhúss & skipulag","Rúm & dýnur","já","Betra Bak","5","já","Nýtt svefnherbergi er klassísk fyrstu kaup. Auglýsir mikið.","20% af rúmum + frí heimsending og gamla dýnan tekin","betrabak.is","588-8477","betrabak@betrabak.is","","",""
"Innanhúss & skipulag","Rúm & dýnur","nei","Svefn & heilsa","4","já","Sterkt merki með verðsamanburðar-stöðu.","Frír koddi/sæng með rúmi","svefnogheilsa.is","581-2233","verslun@svefn.is","","",""
"Innanhúss & skipulag","Rúm & dýnur","nei","Dorma","4","já","Rúm, húsgögn og mottur á einum stað.","15% fyrir nýja eigendur","dorma.is","512-6800","dorma@dorma.is","","",""
"Innanhúss & skipulag","Húsgögn","já","ILVA","5","já","Stór húsgagnaverslun með stórt auglýsingafé.","15% af einum kaupum eða gjafabréf","ilva.is","522-4500","ilva@ilva.is","","",""
"Innanhúss & skipulag","Húsgögn","nei","Epal","4","já","Hönnunarverslun, hentar stílmeðvituðum kaupendum.","Afsláttur af fyrsta hönnunargripnum","epal.is","","epal@epal.is","","",""
"Innanhúss & skipulag","Húsgögn","nei","Módern","4","já","Premium húsgögn.","10–15%","modern.is","534-7777","modern@modern.is","","",""
"Innanhúss & skipulag","Húsgögn","nei","Casa / Vogue fyrir heimilið","3","já","Aðrir kostir. Casa: casa@casa.is (kt. 560398-2719). Vogue: 533-3500, vogue@vogue.is.","—","casa.is","","","","",""
"Innanhúss & skipulag","Ljós & lýsingarhönnun","já","Lumex","5","já","Frá 1985, Skipholti 37. Býður lýsingarhönnun fyrir heimili.","Frí lýsingarráðgjöf + 15%","lumex.is","568-8388","","","",""
"Innanhúss & skipulag","Ljós & lýsingarhönnun","nei","Rafkaup hf.","4","já","Ljós í smásölu og heildsölu.","15%","rafkaup.is","585-2814","gummi@rafkaup.is · holli@rafkaup.is","Guðmundur E. Stephensen, framkv.stj.; Holger Gíslason, sölustjóri","",""
"Innanhúss & skipulag","Flísar","já","Flísabúðin","5","já","Sérverslun, Stórhöfða 21. Engin skörun við Parki.","15% + frí ráðgjöf","flisabudin.is","545-5500","flis@flis.is","","",""
"Innanhúss & skipulag","Flísar","nei","Álfaborg","4","já","Flísar, parket, veggfóður. Skarast lítið við Parki (parket).","15% af flísum","alfaborg.is","568-6755","alfaborg@alfaborg.is","","","Skörun við Parki"
"Innanhúss & skipulag","Mottur & teppi","já","Gólfefnabúðin","4","já","Mottur eftir máli, stigateppi fyrir fjölbýli, Selmúla.","15% af mottu eftir máli","golfefnabudin.is","416-2300","hallo@golfefnabudin.is","","",""
"Innanhúss & skipulag","Mottur & teppi","nei","Teppalagnir.is","2","nei","Teppalagnir í stiga.","Frítt tilboð","teppalagnir.is","699-8820","","","",""
"Innanhúss & skipulag","Veggfóður","já","Veggfóður.is","3","já","Sérverslun, sýningarsalur eftir samkomulagi.","15% af fyrsta herbergi","veggfodur.is","848-1476 / 892-4588","einar@eb.is · jona@eb.is","Einar / Jóna","510196-2799",""
"Innanhúss & skipulag","Veggfóður","nei","Flügger","2","nei","Veggfóður + málning, Stórhöfða 44.","—","flugger.is","","","","560801-2970","Skörun við Slippfélagið"
"Innanhúss & skipulag","Innihurðir","já","Egill Árnason","4","já","Innihurðir (Prum). Hurðaskipti algeng fyrstu árin.","10% af hurðum + uppsetning","egillarnason.is","595-0500","verslun@egillarnason.is","","",""
"Innanhúss & skipulag","Innihurðir","nei","Birgisson","4","já","Ringo-hurðir, 30+ ár, Ármúla 8.","10%","birgisson.is","","birgisson@birgisson.is","","",""
"Innanhúss & skipulag","Innihurðir","nei","Fanntófell","3","já","Westag-hurðir, borðplötur, sérsmíðaðir skápar.","Afsláttur af hurðum + borðplötu","fanntofell.is","587-6688","fanntofell@fanntofell.is","","660887-1569",""
"Innanhúss & skipulag","Innréttingar (ekki HTH)","já","Brúnás","5","já","Íslenskar innréttingar: eldhús, bað, fataskápar. Sýningarsalur Ármúla 17, markaðsfé. Seldu sem bað + fataskápa til að forðast HTH-skörun.","Frí innanhússráðgjöf og teikning, eða afsláttur af fataskáp","brunas.is","588-9933","","","","Eldhúshluti skarast við HTH"
"Innanhúss & skipulag","Innréttingar (ekki HTH)","nei","Smíðaþjónustan ehf.","4","já","Íslensk sérsmíði, Hyrjarhöfða 6.","10% af sérsmíðuðum skáp","innretting.is","511-6090","innretting@innretting.is","","",""
"Innanhúss & skipulag","Filmuklæðning innréttinga (nýr flokkur)","já","Hönnun og Skart","4","já","„Nýtt eldhús“ án þess að skipta út: filma á innréttingar, borðplötur, skápa. Keppir ekki við HTH.","15% af filmuklæðningu á eldhúsi","honnunogskart.is","782-6800","honnunogskart@honnunogskart.is","","",""
"Innanhúss & skipulag","Uppsetning TV, hljóð & snjalltæki","já","Herra Snjall","5","já","Uppsetningaraðili ELKO. Hengja upp sjónvarp, hljóðkerfi og snjalltæki strax við flutning.","20% af fyrstu uppsetningu","herrasnjall.is","519-9697","herrasnjall@herrasnjall.is","","",""
"Innanhúss & skipulag","Uppsetning TV, hljóð & snjalltæki","nei","S. Guðjónsson","3","já","Snjallkerfi fyrir heimili, frá einföldu upp í heildarstýringu.","Frí ráðgjöf","sg.is","520-4500","sg@sg.is","","670169-5459",""
"Innanhúss & skipulag","Innanhússhönnun","já","Kreatíva teiknistofa","3","já","Innanhússarkitekt, ráðgjöf fyrir nýja eigendur. Lítill aðili.","1 klst. ráðgjöf á afslætti","kreativa.is","","hulda@kreativa.is","Hulda","",""
"Innanhúss & skipulag","Innanhússhönnun","nei","Studio Minta","3","já","Litaráðgjöf heima.","Litaráðgjöf á afslætti","studiominta.is","","info@studiominta.is","","",""
"Innanhúss & skipulag","Innrömmun & veggmyndir","já","Innrammarinn","3","já","Myndir upp á nýja veggi, Rauðarárstíg.","20% af innrömmun","innrammarinn.is","511-7000","rammi@innrammarinn.is","","",""
"Innanhúss & skipulag","Innrömmun & veggmyndir","nei","Prentagram","3","já","Ljósmyndaprent í ramma á netinu.","Afsláttarkóði","printem.is","","prenta@prentagram.is","","",""
"Framkvæmdir","Bílskúrshurðir","já","Héðins hurðir","5","já","Nýir eigendur sérbýla skipta oft um gamla hurð eða setja upp opnara. Selhella 2, Hf.","Frí ástandsskoðun og stilling + 10% af nýrri hurð/opnara","hedinshurdir.is","516-2100","hurdir@hedinshurdir.is","","",""
"Framkvæmdir","Bílskúrshurðir","nei","Bílskúrshurðir.is (Gastec)","4","já","Vagnhöfða 9, selur og setur upp.","Frír opnarapakki með hurð","bilskurshurdir.is","587-7000 · sölustj. 660-1819","sala@bilskurshurdir.is","","",""
"Framkvæmdir","Bílskúrshurðir","nei","Glófaxi","4","já","Hörmann-hurðir, verðdæmi á vef.","Afsláttur af Hörmann með uppsetningu","glofaxi.is","","glofaxi@glofaxi.is","","",""
"Framkvæmdir","Baðherbergi – heildarlausn","já","Baðlínan","5","já","Baðið er oft fyrsta stóra verkefnið. Sjá um allt: smiði, pípara, flísara, rafvirkja.","Frí skoðun, hönnunarskissa og tilboð (venjulega 26.900 kr.)","badlinan.is","618-6011","badlinan@badlinan.is","","",""
"Framkvæmdir","Baðherbergi – heildarlausn","nei","H2O lagnir","3","nei","Pípulagnafyrirtæki með baðherbergislausn.","—","h2olagnir.is","","","","","Skörun við HK Lagnir"
"Framkvæmdir","Flísalagnir & múrverk","já","Flísa & Múrkompaníið","4","já","30+ ára reynsla, Mosfellsbæ. Bað- og eldhúsflísar algengar eftir kaup.","10% af flísalögn á baði/eldhúsi","murkompaniid.is","699-4543","flisa@murkompaniid.is","Björnsson, múrarameistari","",""
"Framkvæmdir","Flísalagnir & múrverk","nei","Hylja Flísalagnir","3","nei","Flísar og microsement.","Frí prufa á microsementi","hylja.is","","","","",""
"Framkvæmdir","Flísalagnir & múrverk","nei","Íslenskir múrverktakar","3","nei","Flísalögn og múrverk.","—","imv.is","","","","",""
"Framkvæmdir","Útveggja- & sprunguviðgerðir","já","Húsaviðgerðir","4","já","Sprungu-, múr- og steypuviðgerðir, steining, tröppur. Kaupendur eldri eigna erfa viðhaldið.","Frí ástandsskoðun á útveggjum + 10% af fyrsta verki","husavidgerdir.is","565-7070","info@husavidgerdir.is","","",""
"Framkvæmdir","Útveggja- & sprunguviðgerðir","nei","Húsvættir ehf.","4","já","Viðhald fyrir húsfélög og heimili, Kópavogi.","Frítt tilboð + viðhaldsáætlun","husvaettir.is","762-8400","hv@husvaettir.is","Snorri Hákonarson","570522-0430",""
"Framkvæmdir","Útveggja- & sprunguviðgerðir","nei","Múr & viðhald ehf.","3","já","Sprunguviðgerðir og steining, minna fyrirtæki.","Frítt tilboð samdægurs","murogvidhald.is","784-2973","samband@murogvidhald.is","","",""
"Framkvæmdir","Þakviðgerðir","já","Eikarfell ehf.","4","já","Þakviðgerðir, þakskipti, ástandsskoðun. Ármúla 36.","Frí ástandsskoðun á þaki","eikarfell.is","775-6681","eikarfell@eikarfell.is","","","Skörun við MJ Lausnir"
"Framkvæmdir","Þakviðgerðir","nei","Hamraborg ehf.","3","já","Þakpappi, 35 ára reynsla, Hafnarfirði.","Frí skoðun á flötu þaki","hamraborgehf.is","896-4947","hamraborg@hamraborgehf.is","","",""
